Week,Couple,Carrie Ann Inaba Score,Derek Hough Score,Bruno Tonioli Score,Guest Judge Score
1,Jordan & Ezra,,5,5,N/A
1,Dylan & Daniella,,5,5,N/A
1,Elaine & Alan,,6,6,N/A
1,Whitney & Mark,,7,8,N/A
1,Baron & Britt,,5,5,N/A
1,Alix & Val,,7,6,N/A
1,Scott & Rylee,,5,5,N/A
1,Danielle & Pasha,,6,6,N/A
1,Jen & Jan,,6,6,N/A
1,Corey & Jenna,,4,5,N/A
1,Lauren & Brandon,,7,6,N/A
1,Andy & Emma,,5,4,N/A
1,Hilaria & Gleb,,7,7,N/A
1,Robert & Witney,,8,7,N/A
2,Alix & Val,7,7,7,N/A
2,Danielle & Pasha,7,6,6,N/A
2,Andy & Emma,6,5,5,N/A
2,Lauren & Brandon,7,7,7,N/A
2,Jordan & Ezra,8,7,7,N/A
2,Corey & Jenna,5,5,5,N/A
2,Jen & Jan,8,7,7,N/A
2,Robert & Witney,8,7,7,N/A
2,Elaine & Alan,7,7,7,N/A
2,Baron & Britt,6,6,6,N/A
2,Whitney & Mark,7,7,8,N/A
2,Hilaria & Gleb,7,7,7,N/A
2,Dylan & Daniella,7,6,7,N/A
2,Scott & Rylee,6,6,6,N/A
3,Jen & Jan,7,6,6,N/A
3,Lauren & Brandon,6,6,6,N/A
3,Danielle & Pasha,7,7,7,N/A
3,Jordan & Ezra,8,8,8,N/A
3,Dylan & Daniella,7,8,8,N/A
3,Elaine & Alan,7,7,7,N/A
3,Whitney & Mark,8,8,8,N/A
3,Scott & Rylee,8,7,7,N/A
3,Hilaria & Gleb,7,8,7,N/A
3,Andy & Emma,6,6,6,N/A
3,Robert & Witney,8,7,7,N/A
3,Alix & Val,8,7,8,N/A
4,Dylan & Daniella,7,8,8,N/A
4,Danielle & Pasha,7,7,7,N/A
4,Scott & Rylee,7,7,7,N/A
4,Alix & Val,8,8,8,N/A
4,Hilaria & Gleb,8,7,8,N/A
4,Andy & Emma,6,6,6,N/A
4,Robert & Witney,7,7,8,N/A
4,Elaine & Alan,8,8,8,N/A
4,Whitney & Mark,9,8,8,N/A
4,Jordan & Ezra,8,8,8,N/A
4,Jen & Jan,7,8,8,N/A
5,Andy & Emma,6,6,6,6
5,Robert & Witney,8,9,9,9
5,Elaine & Alan,8,7,8,7
5,Whitney & Mark,9,8,8,8
5,Jen & Jan,8,7,7,7
5,Dylan & Daniella,9,9,9,9
5,Jordan & Ezra,8,8,8,8
5,Scott & Rylee,7,8,8,7
5,Danielle & Pasha,7,7,8,7
5,Alix & Val,8,9,9,9
